category_name,total_views,total_carts,total_purchases,view_to_cart_conversion_rate,cart_to_purchase_conversion_rate,view_to_purchase_conversion_rate
computers.peripherals.camera,4363,589,521,0.1349988539995416,0.8845500848896435,0.1194132477652991
computers.peripherals.scanner,1599,200,165,0.1250781738586616,0.825,0.1031894934333958
stationery.stapler,741,48,66,0.0647773279352226,1.375,0.0890688259109311
stationery.cartrige,32919,3041,2739,0.0923782617941006,0.900690562315028,0.0832042285610134
computers.ebooks,2825,268,212,0.0948672566371681,0.7910447761194029,0.0750442477876106
computers.components.videocards,97039,12684,6888,0.1307103329589134,0.543046357615894,0.0709817702160986
electronics.video.projector,1374,118,94,0.0858806404657933,0.7966101694915254,0.0684133915574963
computers.peripherals.printer,37453,3183,2557,0.0849865164339305,0.803330191643104,0.0682722345339492
electronics.video.tv_remote,932,68,62,0.0729613733905579,0.9117647058823528,0.0665236051502145
electronics.calculator,152,8,10,0.0526315789473684,1.25,0.0657894736842105
computers.peripherals.wifi,6233,455,406,0.0729985560725172,0.8923076923076924,0.0651371731108615
computers.components.hdd,7546,796,485,0.1054863503843095,0.6092964824120602,0.0642724622316459
kids.toys,159,7,10,0.0440251572327044,1.4285714285714286,0.0628930817610062
appliances.steam_cleaner,1131,73,70,0.0645446507515473,0.958904109589041,0.0618921308576481
computers.components.power_supply,8044,826,483,0.1026852312282446,0.5847457627118644,0.060044753853804
computers.notebook,22212,1515,1297,0.0682063749324689,0.856105610561056,0.0583918602557176
computers.components.cpu,21296,2241,1213,0.1052310293012772,0.5412762159750112,0.0569590533433508
electronics.telephone,74803,5386,4119,0.0720024597943932,0.7647604901596732,0.0550646364450623
computers.components.motherboard,23206,2113,1266,0.091054037748858,0.5991481306199716,0.0545548565026286
electronics.camera.video,1436,92,75,0.064066852367688,0.8152173913043478,0.0522284122562674
construction.tools.painting,451,35,23,0.0776053215077605,0.6571428571428571,0.0509977827050997
computers.components.cdrw,765,50,39,0.065359477124183,0.78,0.0509803921568627
construction.tools.saw,3276,196,163,0.0598290598290598,0.8316326530612245,0.0497557997557997
electronics.audio.music_tools.piano,369,27,18,0.073170731707317,0.6666666666666666,0.048780487804878
computers.desktop,5508,348,268,0.0631808278867102,0.7701149425287356,0.0486564996368917
