cohort_month,months_since_first_event,retention_rate
2020-09,0,1.0
2020-09,1,0.062279900873875
2020-09,2,0.0174122864223294
2020-09,3,0.007760532150776
2020-09,4,0.0063910264771096
2020-09,5,0.0046954480239989
2020-10,0,1.0
2020-10,1,0.0267472165839949
2020-10,2,0.008143068183183
2020-10,3,0.0053326287217304
2020-10,4,0.0033509085886549
2020-10,5,
2020-11,0,1.0
2020-11,1,0.0207200408407875
2020-11,2,0.0087896477482076
2020-11,3,0.0061261181275386
2020-11,4,
2020-11,5,
2020-12,0,1.0
2020-12,1,0.0236638694168957
2020-12,2,0.0102197976192189
2020-12,3,
2020-12,4,
2020-12,5,
2021-01,0,1.0
2021-01,1,0.0276195099517105
2021-01,2,
2021-01,3,
2021-01,4,
2021-01,5,
2021-02,0,1.0
2021-02,1,
2021-02,2,
2021-02,3,
2021-02,4,
2021-02,5,
