brand,views,carts,purchases,view_to_cart_rate,cart_to_purchase_rate,view_to_purchase_rate
noreve,2,0,7,0.0,0.0,3.5
polaroid,3,1,3,0.3333333333333333,3.0,1.0
accesstyle,2,1,2,0.5,2.0,1.0
yeastar,14,2,9,0.14285714285714285,4.5,0.6428571428571429
marvo,3,1,1,0.3333333333333333,1.0,0.3333333333333333
printpro,51,8,13,0.1568627450980392,1.625,0.2549019607843137
mobparts,13,6,3,0.46153846153846156,0.5,0.23076923076923078
atrix,5,1,1,0.2,1.0,0.2
klevv,5,1,1,0.2,1.0,0.2
codyson,365,63,71,0.1726027397260274,1.126984126984127,0.19452054794520549
trassir,21,2,4,0.09523809523809523,2.0,0.19047619047619047
alphachem,17,4,3,0.23529411764705882,0.75,0.17647058823529413
pmma,127,24,21,0.1889763779527559,0.875,0.16535433070866143
universal,73,7,12,0.0958904109589041,1.7142857142857142,0.1643835616438356
rus,25,2,4,0.08,2.0,0.16
redline,45,4,7,0.08888888888888889,1.75,0.15555555555555556
magner,13,1,2,0.07692307692307693,2.0,0.15384615384615385
solder,47,3,7,0.06382978723404255,2.3333333333333335,0.14893617021276595
nv-print,2825,401,416,0.14194690265486726,1.0374064837905237,0.14725663716814158
content,166,29,24,0.1746987951807229,0.8275862068965517,0.14457831325301204
hgst,56,8,8,0.14285714285714285,1.0,0.14285714285714285
hipro,28,4,4,0.14285714285714285,1.0,0.14285714285714285
leitz,14,3,2,0.21428571428571427,0.6666666666666666,0.14285714285714285
luxele,36,3,5,0.08333333333333333,1.6666666666666667,0.1388888888888889
keenetic,701,91,94,0.12981455064194009,1.032967032967033,0.1340941512125535
saitek,750,118,97,0.15733333333333333,0.8220338983050848,0.12933333333333333
p.i.t,604,65,77,0.1076158940397351,1.1846153846153846,0.12748344370860928
fanvil,40,6,5,0.15,0.8333333333333334,0.125
imex,40,5,5,0.125,1.0,0.125
rokform,8,1,1,0.125,1.0,0.125
fluke,121,11,15,0.09090909090909091,1.3636363636363635,0.12396694214876033
osnovo,17,2,2,0.11764705882352941,1.0,0.11764705882352941
sapphire,8019,1440,917,0.17957351290684623,0.6368055555555555,0.11435341064970694
verus,53,10,6,0.18867924528301888,0.6,0.11320754716981132
gillette,45,2,5,0.044444444444444446,2.5,0.1111111111111111
avaya,9,1,1,0.1111111111111111,1.0,0.1111111111111111
sago,9,1,1,0.1111111111111111,1.0,0.1111111111111111
canyon,633,64,70,0.10110584518167456,1.09375,0.11058451816745656
steelseries,1385,211,145,0.1523465703971119,0.6872037914691943,0.10469314079422383
navigator,49,6,5,0.12244897959183673,0.8333333333333334,0.10204081632653061
pantum,2911,310,295,0.10649261422191687,0.9516129032258065,0.10133974579182412
brother,2044,235,207,0.1149706457925636,0.8808510638297873,0.1012720156555773
gigaset,386,42,39,0.10880829015544041,0.9285714285714286,0.10103626943005181
yixing,60,10,6,0.16666666666666666,0.6,0.1
tomoegawa,30,5,3,0.16666666666666666,0.6,0.1
kutis,20,2,2,0.1,1.0,0.1
toshiba,487,61,48,0.12525667351129363,0.7868852459016393,0.09856262833675565
ballistix,312,40,30,0.1282051282051282,0.75,0.09615384615384616
svetocopy,157,12,15,0.07643312101910828,1.25,0.09554140127388536
zebra,273,41,26,0.15018315018315018,0.6341463414634146,0.09523809523809523
gbc,53,7,5,0.1320754716981132,0.7142857142857143,0.09433962264150944
ubiquiti,723,62,68,0.08575380359612725,1.096774193548387,0.09405255878284924
western,32,8,3,0.25,0.375,0.09375
vlk,108,11,10,0.10185185185185185,0.9090909090909091,0.09259259259259259
sandisk,1042,123,96,0.118042226487524,0.7804878048780488,0.09213051823416507
positive,66,6,6,0.09090909090909091,1.0,0.09090909090909091
cello,11,1,1,0.09090909090909091,1.0,0.09090909090909091
netproduct,310,34,28,0.10967741935483871,0.8235294117647058,0.09032258064516129
msi,19941,3135,1788,0.15721378065292613,0.570334928229665,0.08966451030540093
muvit,134,15,12,0.11194029850746269,0.8,0.08955223880597014
apacer,393,67,35,0.17048346055979643,0.5223880597014925,0.089058524173028
sennheiser,451,45,40,0.09977827050997783,0.8888888888888888,0.08869179600886919
nanoleaf,79,10,7,0.12658227848101267,0.7,0.08860759493670886
cbr,1087,119,95,0.10947562097516099,0.7983193277310925,0.08739650413983441
ibox,117,12,10,0.10256410256410256,0.8333333333333334,0.08547008547008547
superfine,380,50,32,0.13157894736842105,0.64,0.08421052631578947
moodo,24,3,2,0.125,0.6666666666666666,0.08333333333333333
millennium,12,1,1,0.08333333333333333,1.0,0.08333333333333333
romix,12,1,1,0.08333333333333333,1.0,0.08333333333333333
cactus,4810,453,400,0.09417879417879418,0.8830022075055187,0.08316008316008316
seagate,1063,136,88,0.1279397930385701,0.6470588235294118,0.08278457196613359
onkron,133,13,11,0.09774436090225563,0.8461538461538461,0.08270676691729323
amega,73,10,6,0.136986301369863,0.6,0.0821917808219178
e.o.s,50,3,4,0.06,1.3333333333333333,0.08
rapoo,401,26,32,0.06483790523690773,1.2307692307692308,0.0798004987531172
mobilepc,3324,294,260,0.08844765342960288,0.8843537414965986,0.07821901323706378
zetton,334,30,26,0.08982035928143713,0.8666666666666667,0.07784431137724551
powercolor,3506,461,272,0.13148887621220764,0.5900216919739696,0.0775812892184826
accord,1426,162,110,0.11360448807854137,0.6790123456790124,0.07713884992987377
