category_code,views,carts,purchases,view_to_cart_rate,cart_to_purchase_rate,view_to_purchase_rate
computers.peripherals.camera,4363,589,521,0.1349988539995416,0.8845500848896435,0.1194132477652991
computers.peripherals.scanner,1599,200,165,0.12507817385866166,0.825,0.10318949343339587
stationery.stapler,741,48,66,0.06477732793522267,1.375,0.08906882591093117
stationery.cartrige,32919,3041,2739,0.09237826179410068,0.900690562315028,0.0832042285610134
computers.ebooks,2825,268,212,0.09486725663716813,0.7910447761194029,0.07504424778761062
computers.components.videocards,97039,12684,6888,0.13071033295891343,0.543046357615894,0.07098177021609868
electronics.video.projector,1374,118,94,0.0858806404657933,0.7966101694915254,0.06841339155749636
computers.peripherals.printer,37453,3183,2557,0.08498651643393053,0.803330191643104,0.06827223453394922
electronics.video.tv_remote,932,68,62,0.07296137339055794,0.9117647058823529,0.06652360515021459
electronics.calculator,152,8,10,0.05263157894736842,1.25,0.06578947368421052
computers.peripherals.wifi,6233,455,406,0.07299855607251725,0.8923076923076924,0.06513717311086155
computers.components.hdd,7546,796,485,0.10548635038430956,0.6092964824120602,0.0642724622316459
kids.toys,159,7,10,0.0440251572327044,1.4285714285714286,0.06289308176100629
appliances.steam_cleaner,1131,73,70,0.0645446507515473,0.958904109589041,0.0618921308576481
computers.components.power_supply,8044,826,483,0.10268523122824466,0.5847457627118644,0.060044753853804075
computers.notebook,22212,1515,1297,0.06820637493246894,0.856105610561056,0.05839186025571763
computers.components.cpu,21296,2241,1213,0.10523102930127723,0.5412762159750112,0.056959053343350864
electronics.telephone,74803,5386,4119,0.07200245979439328,0.7647604901596732,0.05506463644506236
computers.components.motherboard,23206,2113,1266,0.09105403774885805,0.5991481306199716,0.05455485650262863
electronics.camera.video,1436,92,75,0.06406685236768803,0.8152173913043478,0.05222841225626741
construction.tools.painting,451,35,23,0.07760532150776053,0.6571428571428571,0.050997782705099776
computers.components.cdrw,765,50,39,0.06535947712418301,0.78,0.050980392156862744
construction.tools.saw,3276,196,163,0.05982905982905983,0.8316326530612245,0.04975579975579975
electronics.audio.music_tools.piano,369,27,18,0.07317073170731707,0.6666666666666666,0.04878048780487805
computers.desktop,5508,348,268,0.06318082788671024,0.7701149425287356,0.048656499636891795
stationery.paper,1772,97,85,0.05474040632054176,0.8762886597938144,0.04796839729119639
computers.peripherals.nas,232,11,11,0.04741379310344827,1.0,0.04741379310344827
electronics.tablet,17470,1084,819,0.062049227246708645,0.7555350553505535,0.04688036634230109
auto.accessories.gps,1966,99,90,0.05035605289928789,0.9090909090909091,0.04577822990844354
electronics.audio.dictaphone,268,19,12,0.0708955223880597,0.631578947368421,0.04477611940298507
computers.peripherals.joystick,6021,353,265,0.058628134861318716,0.7507082152974505,0.044012622487958813
auto.accessories.player,15926,880,685,0.0552555569508979,0.7784090909090909,0.04301142785382393
appliances.personal.massager,835,50,35,0.059880239520958084,0.7,0.041916167664670656
computers.peripherals.keyboard,2320,146,96,0.06293103448275862,0.6575342465753424,0.041379310344827586
construction.tools.screw,1914,103,79,0.05381400208986416,0.7669902912621359,0.041274817136886105
appliances.kitchen.fryer,294,23,12,0.0782312925170068,0.5217391304347826,0.04081632653061224
computers.peripherals.vr,180,9,7,0.05,0.7777777777777778,0.03888888888888889
furniture.living_room.shelving,2980,153,115,0.05134228187919463,0.7516339869281046,0.03859060402684564
construction.tools.heater,106,6,4,0.05660377358490566,0.6666666666666666,0.03773584905660377
auto.accessories.radar,568,25,21,0.04401408450704225,0.84,0.03697183098591549
construction.tools.soldering,8164,407,289,0.04985301322880941,0.7100737100737101,0.035399314061734445
auto.accessories.parktronic,1613,69,57,0.04277743335399876,0.8260869565217391,0.035337879727216366
appliances.environment.vacuum,8480,330,297,0.03891509433962264,0.9,0.035023584905660377
Unknown,218073,10408,7566,0.0477271372430333,0.7269408147578785,0.03469480403351172
electronics.audio.acoustic,24761,1140,848,0.046040143774484066,0.743859649122807,0.034247405193651305
construction.tools.light,2267,102,77,0.044993383325981476,0.7549019607843137,0.03396559329510366
construction.tools.drill,8232,369,278,0.044825072886297376,0.7533875338753387,0.033770651117589895
computers.peripherals.monitor,6071,412,204,0.0678636139021578,0.49514563106796117,0.03360237193213639
computers.peripherals.mouse,3932,183,128,0.0465412004069176,0.6994535519125683,0.03255340793489318
electronics.audio.headphone,6891,289,222,0.04193876070236541,0.7681660899653979,0.03221593382673052
auto.accessories.compressor,2359,99,75,0.041966935142009325,0.7575757575757576,0.0317931326833404
appliances.kitchen.meat_grinder,2333,76,72,0.03257608229747107,0.9473684210526315,0.030861551650235748
auto.accessories.light,33,2,1,0.06060606060606061,0.5,0.030303030303030304
accessories.bag,1942,64,56,0.032955715756951595,0.875,0.028836251287332648
computers.network.router,1579,61,45,0.038632045598480054,0.7377049180327869,0.028499050031665613
sport.bicycle,212,14,6,0.0660377358490566,0.42857142857142855,0.02830188679245283
construction.tools.wrench,389,17,11,0.043701799485861184,0.6470588235294118,0.028277634961439587
electronics.audio.microphone,2231,86,61,0.03854773644105782,0.7093023255813954,0.02734199910354101
appliances.kitchen.kettle,2163,71,56,0.03282478039759593,0.7887323943661971,0.025889967637540454
country_yard.lawn_mower,234,7,6,0.029914529914529916,0.8571428571428571,0.02564102564102564
auto.accessories.immobilizer,80,2,2,0.025,1.0,0.025
jewelry.souvenir,204,9,5,0.04411764705882353,0.5555555555555556,0.024509803921568627
computers.components.cooler,9317,410,227,0.04400558119566384,0.5536585365853659,0.024364065686379735
appliances.kitchen.grill,2857,75,67,0.026251312565628283,0.8933333333333333,0.02345117255862793
appliances.environment.air_heater,840,29,19,0.034523809523809526,0.6551724137931034,0.02261904761904762
appliances.sewing_machine,5851,214,130,0.036574944453939495,0.6074766355140186,0.022218424200991283
construction.tools.welding,3048,113,67,0.037073490813648295,0.5929203539823009,0.021981627296587928
computers.components.tv_tuner,2068,60,44,0.029013539651837523,0.7333333333333333,0.02127659574468085
stationery.battery,1372,47,29,0.034256559766763846,0.6170212765957447,0.021137026239067054
appliances.kitchen.blender,1052,21,22,0.019961977186311788,1.0476190476190477,0.02091254752851711
appliances.personal.hair_cutter,1334,37,26,0.027736131934032984,0.7027027027027027,0.019490254872563718
electronics.video.tv,20312,672,389,0.03308389129578574,0.5788690476190477,0.019151240645923592
country_yard.weather_station,439,8,8,0.018223234624145785,1.0,0.018223234624145785
auto.accessories.videoregister,7049,227,128,0.03220314938289119,0.5638766519823789,0.018158604057313094
electronics.camera.photo,222,6,4,0.02702702702702703,0.6666666666666666,0.018018018018018018
computers.components.network_adapter,1407,36,25,0.0255863539445629,0.6944444444444444,0.017768301350390904
auto.accessories.window,246,4,4,0.016260162601626018,1.0,0.016260162601626018
medicine.tools.tonometer,682,19,11,0.02785923753665689,0.5789473684210527,0.016129032258064516
appliances.kitchen.mixer,2015,71,32,0.03523573200992556,0.4507042253521127,0.01588089330024814
appliances.iron,597,10,8,0.01675041876046901,0.8,0.01340033500837521
computers.components.sound_card,1448,29,17,0.020027624309392266,0.5862068965517241,0.011740331491712707
construction.tools.generator,176,6,2,0.03409090909090909,0.3333333333333333,0.011363636363636364
appliances.personal.scales,542,4,6,0.007380073800738007,1.5,0.01107011070110701
electronics.clocks,3439,62,35,0.01802849665600465,0.5645161290322581,0.010177377144518756
appliances.kitchen.toster,203,3,2,0.014778325123152709,0.6666666666666666,0.009852216748768473
appliances.kitchen.coffee_grinder,211,6,2,0.02843601895734597,0.3333333333333333,0.009478672985781991
auto.accessories.alarm,3014,52,28,0.017252820172528202,0.5384615384615384,0.0092899800928998
construction.tools.pump,660,9,6,0.013636363636363636,0.6666666666666666,0.00909090909090909
appliances.kitchen.microwave,2702,54,24,0.01998519615099926,0.4444444444444444,0.008882309400444115
appliances.kitchen.coffee_machine,3383,47,21,0.013892994383683122,0.44680851063829785,0.006207508128879693
computers.gaming,191,6,1,0.031413612565445025,0.16666666666666666,0.005235602094240838
country_yard.cultivator,2355,26,9,0.011040339702760084,0.34615384615384615,0.003821656050955414
appliances.kitchen.juicer,1874,7,3,0.003735325506937033,0.42857142857142855,0.0016008537886872999
accessories.briefcase,11,2,0,0.18181818181818182,0.0,0.0
apparel.glove,117,1,0,0.008547008547008548,0.0,0.0
appliances.environment.fan,78,1,0,0.01282051282051282,0.0,0.0
appliances.kitchen.refrigerators,15,0,0,0.0,0.0,0.0
appliances.kitchen.steam_cooker,96,2,0,0.020833333333333332,0.0,0.0
appliances.kitchen.washer,59,1,0,0.01694915254237288,0.0,0.0
auto.accessories.winch,6,0,0,0.0,0.0,0.0
country_yard.watering,44,1,0,0.022727272727272728,0.0,0.0
electronics.fax,503,1,0,0.0019880715705765406,0.0,0.0
furniture.bathroom.bath,32,1,0,0.03125,0.0,0.0
furniture.bedroom.blanket,24,2,0,0.08333333333333333,0.0,0.0
furniture.kitchen.chair,15,0,0,0.0,0.0,0.0
furniture.living_room.chair,42,0,0,0.0,0.0,0.0
jewelry.ring,33,3,0,0.09090909090909091,0.0,0.0
kids.skates,191,5,0,0.02617801047120419,0.0,0.0
